lesson_title,cefr_level,uuid,grammar_tags,vocabulary_tags,learning_language,content_type
Nominative case,C2,395dc458-e3ac-495d-9c00-3151d860f32d,noun:nominative_case,"languages, traditions_celebrations, old_age, groceries_fruits_vegetables, adulthood",English,by_yourself
Auxiliary,C2,ae070cf6-e268-41db-a6d3-634d1354ff65,"verb:auxiliary, pronoun:indirect_object, pronoun:direct_object","animals_wild, greetings_goodbyes, money_banking, crime_law",English,cards
Partitive article,C1,a87dbbe6-b9c4-4874-994d-0f5887aff900,"determiner:partitive_article, noun:genitive_case, verb:present_tense","town_city, countryside",English,section
Demonstrative,C1,39eeb7f7-309d-41b5-af2d-de59ea1894bc,determiner:demonstrative,"going_out, furniture_decor, beverages, hygiene_cosmetics",English,cards
Indirect object,A1,821b47ea-d41d-410b-971f-caead4705c79,"pronoun:indirect_object, noun:genitive_case, verb:passive_voice",bikes,English,by_yourself
Interjections,A1,b656803d-1b44-43f7-adb1-de72b7670b6e,interjection,"adulthood, devices_tools_gadgets",English,Live
Comparative,A2,ef9d58d3-e155-4d6b-984e-548be9ef0203,"adjective:comparative, pronoun:reflexive","nature_landscapes, emotions_states, media",English,section
Imperfect aspect,C2,fb8f02a4-fee8-4a5a-a070-3d9e90ed1ed4,"verb:imperfect_aspect, verb:gerund","money_banking, art_design",English,cards
Gerund,A1,7d8d8b79-ec36-46aa-a360-ca0ef8b52808,"verb:gerund, adjective:absolute_superlative, sentence:interrogative",outdoors,English,cards
Nominative case,B2,41357eb8-448b-4316-af1f-a41a88724d7a,"noun:nominative_case, noun:appreciative_derivation, verb:future_tense","shapes, school_classroom",English,by_yourself
Relative,C1,deddf3f3-3eb9-4f03-92b6-8c6286cf8517,"pronoun:relative, noun:dative_case, interjection","housework, school_classroom",English,by_yourself
Dative case,A2,e75f0d32-fb21-4eb7-ba46-fc69b8f80443,"noun:dative_case, pronoun:adverbial, verb:finite",internet,English,Live
Gender,A2,e8a741e1-bb31-4f75-82b1-470e593fb673,"noun:gender, noun:definite_form, noun:dative_case","describing_objects, work_life, body, nations_geography, dishes",English,cards
Relative,B1,ff44a260-5251-44d6-afdc-200b07de9264,pronoun:relative,"planes_airports, music",English,by_yourself
Participle,C1,b5d4d2aa-d9fe-4789-b4b0-211806020317,verb:participle,"dining_restaurants, shopping, routines_habits, film_tv, physical_appearance",English,cards
Possessive,C2,ed3fe8fe-1ee2-4164-9655-94fb23d63c26,"determiner:possessive, noun:singular","dishes, hygiene_cosmetics",English,Live
Subjunctive mood,C1,24fb2fcc-24e9-4a69-816c-e195c896ab9a,"verb:subjunctive_mood, sentence:interrogative, noun:definite_form","media, phones, boats_ships, measurement_quantities, housework",English,section
Possessive,C2,14260207-be17-4704-8290-03619d014f2c,"determiner:possessive, verb:future_tense","boats_ships, routines_habits, natural_sciences",English,section
Gender,B1,3fea0e4d-479c-411e-9b77-07661a4640f7,"noun:gender, determiner:definite_article, pronoun:interrogative","animals_wild, routines_habits, housework",English,by_yourself
Future tense,C1,38203222-d1ad-415c-bbac-58225759d1f1,verb:future_tense,"greetings_goodbyes, going_out, adulthood, hotels_accomodation, boats_ships",English,section
Modal,C2,5180fb8b-08fa-450a-b322-e2b731fb3ca7,"verb:modal, adjective:absolute_superlative, adjective","planes_airports, appliances, death, numbers, year_season_month",English,section
Passive voice,C1,43e2e84f-5bbc-4751-be3e-7548322f5975,verb:passive_voice,"non_understanding, compliments, hotels_accomodation, groceries_animal_products, outdoors",English,section
Singular,C1,abb78374-ddac-40f2-85bc-e5566faa44bb,"noun:singular, noun:indefinite_form, pronoun:indefinite","appliances, non_understanding",English,cards
Accusative case,A2,a30efdea-de8e-43ed-a622-5a2ac4ea8636,"noun:accusative_case, verb:past_tense, subjunction",public_transit_trains,English,cards
Passive voice,A1,396e130d-5b5d-4947-84c4-dca80d5d220c,"verb:passive_voice, noun:plural, determiner:definite_article","university_academia, physical_appearance",English,section
Indefinite article,B1,7fe9b857-731a-4f35-aefc-6ab6a74fe34c,determiner:indefinite_article,"measurement_quantities, childhood, hotels_accomodation, natural_sciences",English,cards
Negation,A2,7a1acbc6-e9eb-412f-a864-8d3a90cd332d,"sentence:negation, adjective:comparative","work_life, groceries_grains, colors, death, boats_ships",English,section
Adjectives 3,A1,dbb2d9e5-141a-4e76-aeff-d2e335791456,adjective,languages,English,section
Informal pronoun,B1,5bc36493-df68-4889-9fc5-c9a6780311a8,pronoun:informal_pronoun,dining_restaurants,English,section
Imperative mood,C2,216eb141-9782-4000-aba6-020f3cde4e81,"verb:imperative_mood, adverb, verb:subjunctive_mood","accidents_catastrophes, bikes",English,section
Partitive article,A2,1bc127c7-774a-4923-a491-83a77a75c73a,"determiner:partitive_article, verb:subjunctive_mood, pronoun:demonstrative","year_season_month, religions, physical_appearance, body, computers_hardware",English,Live
Present tense,A1,fefac4b3-b555-4e78-b13d-e5c0f2e547cb,"verb:present_tense, verb:auxiliary","university_academia, environmental_issues, animals_domesticated, identification",English,section
Adjectives 4,C2,88c7ee22-ffde-49fe-bd89-d553d4e9bad4,adjective,"media, emotions_states, appliances, film_tv",English,cards
Informal pronoun,B2,6609ba8f-9b5f-4590-8586-467d0edf5ce2,"pronoun:informal_pronoun, determiner:indefinite_article","professions, accidents_catastrophes, public_transit_trains, year_season_month, non_understanding",English,by_yourself
Indefinite form,C1,ac4dc51d-1830-4389-aaae-50f7d87478a4,"noun:indefinite_form, verb:imperative_mood","cars, numbers, locations_directions",English,section
Finite,C2,8b571668-7ea9-46b0-86cc-75f2c5dfd423,"verb:finite, verb:subjunctive_mood",routines_habits,English,Live
Participle,C2,fdcf3db3-7d91-4d9f-902f-9f22148bf305,"verb:participle, pronoun:indirect_object, verb:infinitive","argumentation, accidents_catastrophes, business, computers_hardware, traditions_celebrations",English,section
Interrogative,C1,41a9eae2-afed-4946-81f3-987a3f018755,pronoun:interrogative,"illness_injury, politics",English,section
Accusative case,A2,03930a07-995f-456e-896f-7a99606ad268,"noun:accusative_case, verb:conditional_mood, adjective:absolute_superlative","shopping, public_transit_trains, hobbies_games, adulthood, shapes",English,Live
Superlative,B2,375eefae-8eba-45fa-8f64-a91a460f1684,"adjective:superlative, pronoun:personal","love, numbers, literature, nature_landscapes, childhood",English,section
Subjunction and comparatives,B2,98f993a6-bc9e-4102-bc42-b44b7bfdcca7,"subjunction, adjective:comparative, pronoun:adverbial",animals_domesticated,English,section
Reflexive,B1,ec6a85b3-0dc8-4d5a-97d2-df60f328a0dc,pronoun:reflexive,"internet, numbers, shapes, physical_appearance, routines_habits",English,section
Informal pronoun,C2,364a6da4-0ad7-4482-9f4b-7489b3dd2561,"pronoun:informal_pronoun, interjection","nations_geography, personality_traits, boats_ships, internet",English,cards
Accusative case,B1,7fa27c8f-6bb5-43bf-8ccb-1d3333856ba0,"noun:accusative_case, verb:progressive_aspect","senses, vacation",English,Live
Possessive,B1,55495f6c-eef4-454a-a942-8f44e4549f52,"pronoun:possessive, pronoun:informal_pronoun, verb:modal","body, furniture_decor, animals_domesticated",English,Live
Interjections 2,A1,e8d6e82a-1996-485d-a91e-e28d08bf4087,interjection,"clothes_shoes, languages, numbers",English,by_yourself
Relative,B1,68e6c3d6-4f27-46f1-8327-54ca75f543ef,"pronoun:relative, number_ordinal",identification,English,Live
Ordinal numbers 3,C1,d4085d5e-9cab-4ecf-8da9-3c6078d78caf,number_ordinal,"death, family",English,cards
Dative case,A2,2d97cc2f-7592-4f7f-a2d2-0990f5be8888,"noun:dative_case, determiner:partitive_article","animals_wild, year_season_month, groceries_grains",English,Live
Direct object,B1,2cd39f85-8c0b-4cda-8809-e1a77096483e,pronoun:direct_object,"groceries_animal_products, colors, languages, public_transit_trains",English,cards
Plural,C2,1af05d92-581c-4178-b709-f565f8385603,"noun:plural, verb:subjunctive_mood, noun:nominative_case","nature_landscapes, animals_wild, town_city, groceries_animal_products",English,cards
Conjunctions 4,C2,a3b939dd-78f8-450d-9251-238029d76c8c,"conjunction, noun:accusative_case","love, yard_garden",English,by_yourself
Past tense,A2,60f7d6ec-567f-49dc-a1b2-cf9e98b77686,"verb:past_tense, pronoun:impersonal, noun:gender","phones, planes_airports, clothes_shoes, colors, politics",English,by_yourself
Indefinite article,C1,e2dc2551-8860-4570-bc6e-383d4c263bdc,"determiner:indefinite_article, adjective:comparative","work_life, animals_wild, money_banking",English,cards
Future tense,A1,363b5b6a-052f-4e27-a884-b27d65d09422,verb:future_tense,"traditions_celebrations, week_dates, emotions_states, cars",English,cards
Modal,B1,25dd802f-3cbe-4d26-868a-859b6aadd3ed,"verb:modal, adjective:superlative","environmental_issues, senses, materials, going_out",English,Live
Personal,A1,1d4ca506-3474-4a35-85f4-55db07a71194,"pronoun:personal, adjective:comparative, determiner:demonstrative",job_applications,English,section
Appreciative derivation,A2,186288e7-569f-4833-bb09-08efca0f540f,"noun:appreciative_derivation, verb:infinitive",locations_directions,English,section
Interrogative,A2,2d63f351-6868-47e8-8fc6-04ece0d596f6,pronoun:interrogative,"clock_time_of_day, sweets_desserts, going_out, boats_ships, hotels_accomodation",English,Live
Indirect object,B2,34b4f9fb-624c-44bc-8897-017bfd43dc2c,"pronoun:indirect_object, adjective:absolute_superlative, noun:appreciative_derivation","house_rooms, business, traditions_celebrations, space",English,section
Adverbial,A2,a099b94f-f7ee-4115-84be-142bbf6f09bb,"pronoun:adverbial, pronoun:relative, pronoun:interrogative","weather_climate, love, emotions_states",English,cards
Auxiliary,C2,a645c8c9-24f2-4ad5-886e-e3c2c17c1fbe,verb:auxiliary,"identification, hotels_accomodation, childhood, town_city, accidents_catastrophes",English,Live
Interrogatives and conjunctions,B2,a827be9a-6736-414e-988d-8649da4f7d2a,"conjunction, noun:singular, pronoun:interrogative",traditions_celebrations,English,by_yourself
Dative case,C2,2ab37be0-617f-4088-a2b6-6ad5521b4cf3,noun:dative_case,"countryside, friends",English,by_yourself
Present tense,A2,57961918-1916-4ec7-b3d5-7e29395c6bae,"verb:present_tense, noun:singular, pronoun:direct_object","senses, natural_sciences, appliances, emotions_states, non_understanding",English,by_yourself
Demonstrative,A1,8bdf9acd-4dae-488f-a194-2f1f368d3aba,"determiner:demonstrative, interjection, determiner:possessive","sweets_desserts, religions, furniture_decor",English,Live
Direct object,A2,94da71e3-8712-4554-8264-571c8f757806,"pronoun:direct_object, verb:imperative_mood, adverb","death, media, old_age, professions, family",English,by_yourself
Singular,C2,94cbf63a-d389-48fb-b560-9028f757ef27,"noun:singular, verb:gerund, pronoun:stressed","animals_wild, illness_injury",English,by_yourself
Direct object,C2,8fcd0f4f-22bd-48cc-a70d-916d4acb3313,pronoun:direct_object,materials,English,section
Indirect object,B2,ed68d191-2a58-43af-8a7d-5c2aca64ff4f,"pronoun:indirect_object, noun:appreciative_derivation, pronoun:direct_object","vacation, week_dates, business",English,section
Demonstratives and subjunctions,B2,cd24ab75-c55d-4197-838c-504b460bb3e6,"subjunction, pronoun:demonstrative","family, accidents_catastrophes, outdoors",English,by_yourself
Negation,B2,4323ce0c-36c5-45c3-ae8e-21f539f2e641,sentence:negation,"sweets_desserts, dishes, business, greetings_goodbyes",English,section
Gender,B2,4ab623f1-0852-42db-a5be-f6fe73e63b9f,"noun:gender, verb:imperfect_aspect","house_rooms, theater_shows, hotels_accomodation",English,cards
Irregular,A1,b458d985-da51-40ad-b6d6-28a942ce4267,verb:irregular,"university_academia, traveling, personality_traits, identification",English,by_yourself
Definite article,B2,b4d869ab-3fd0-4ddf-b6e8-03d48bc5c53d,determiner:definite_article,"accidents_catastrophes, furniture_decor, cars, hotels_accomodation, boats_ships",English,by_yourself
Subjunctive mood,B1,7398f108-2c2e-4cbe-8925-ffa726590639,verb:subjunctive_mood,"devices_tools_gadgets, numbers, outdoors",English,cards
Comparative,C2,22f1a7f2-3a0d-4951-bb1c-75cc31d48d02,"adjective:comparative, verb:infinitive","bikes, greetings_goodbyes, childhood, weather_climate, compliments",English,Live
Interjections 3,B2,664a8153-0f96-4a47-88e8-3eab5df36dc6,interjection,"body, dishes, beverages",English,Live
Formal and possessive pronouns,A1,cc056a6f-6c13-4976-8cec-f65a27024c1c,"conjunction, pronoun:formal_pronoun, pronoun:possessive",house_rooms,English,section
Irregular,C1,f07dd3a4-4be0-40cf-8103-b8a8da2b073f,"verb:irregular, pronoun:stressed, noun:appreciative_derivation","plants, accidents_catastrophes, childhood, crime_law, furniture_decor",English,by_yourself
Conjunctions 5,B2,540fc3ec-4fb7-4726-88a3-099b9c28ed70,conjunction,public_transit_trains,English,by_yourself
Future tense,A2,af614ea2-7bb7-40ae-aeaa-dbf66dc604b7,verb:future_tense,religions,English,section
Superlative,B2,4f8290c2-d53f-4f3a-b81d-50f7263c63d6,"adjective:superlative, noun:gender","job_applications, greetings_goodbyes, sweets_desserts",English,section
Impersonal,C1,c3601f54-1ce8-4836-8f08-33d8806f1827,"pronoun:impersonal, pronoun:relative","hotels_accomodation, outdoors",English,Live
Superlative,C2,4c025dc3-f5f8-45ae-b9aa-99e3138cf674,"adverb:superlative, noun:appreciative_derivation","argumentation, shopping, accidents_catastrophes, money_banking",English,by_yourself
Indirect object,B2,f1872597-ec26-443a-a22a-5e5deec63434,"pronoun:indirect_object, adjective:superlative, pronoun:possessive","environmental_issues, childhood, plants, hobbies_games, devices_tools_gadgets",English,by_yourself
Gender,A1,eff1f685-4843-4f3a-9f88-4c97295d92d0,"noun:gender, pronoun:stressed, verb:passive_voice","personality_traits, materials, school_classroom, sweets_desserts, dishes",English,Live
Auxiliary,B1,be029e9f-1682-4d7d-8b6a-9c8fbf0a5636,"verb:auxiliary, verb:imperfect_aspect, determiner:indefinite_article","colors, polite_expressions, crime_law, week_dates",English,Live
Informal pronoun,A2,8878d614-7326-4397-a04f-f94e5ef62414,"pronoun:informal_pronoun, noun:genitive_case","going_out, death, animals_wild",English,by_yourself
Interrogative,A1,78f61684-c600-4a11-8c0f-eda955422a1a,pronoun:interrogative,"media, numbers",English,Live
Genitive case,C1,1f3f9701-525c-4d38-ac72-cba5836e6ae3,noun:genitive_case,"nature_landscapes, friends, sweets_desserts, greetings_goodbyes, body",English,section
Partitive article,B1,7bd74cb3-fd22-452c-a5d0-4b898d8ba974,"determiner:partitive_article, pronoun:indefinite, pronoun:impersonal","greetings_goodbyes, hotels_accomodation, plants",English,by_yourself
Dative case,A1,4a3d2ff0-d562-4c7f-8d83-88175ae2fb24,noun:dative_case,"job_applications, cooking_tableware, countryside",English,section
Prepositions,C2,39994d5b-9d79-4bab-9569-17bdd5b594f0,preposition,"physical_appearance, cars, polite_expressions, going_out",English,Live
Definite form,C2,2c5d1771-79a6-4d1c-8272-6cbd1e975e49,"noun:definite_form, verb:past_tense",groceries_fruits_vegetables,English,section
Indefinite form,A1,215a6749-8d7e-4999-9011-7a5534f18da1,"noun:indefinite_form, interjection, pronoun:adverbial","film_tv, nations_geography",English,cards
Gender,C1,2250041f-2ccf-41dc-8a44-74326ac8c0de,"noun:gender, verb:gerund",furniture_decor,English,section
Prepositions 2,C2,38aaf7bd-8a42-469c-bfd0-d2dd13c05a41,preposition,"week_dates, music",English,section
Present tense,C2,9c250208-0416-4168-90c9-b28a433accb9,"verb:present_tense, determiner:definite_article, verb:future_tense","house_rooms, shapes",English,cards
Plural,C1,421d286a-5f0d-47f1-8e6d-5114fe46576a,noun:plural,"university_academia, outdoors, measurement_quantities, literature, planes_airports",English,by_yourself
Past tense,C2,f5d5e968-af63-4710-808c-d6c157e415ad,verb:past_tense,"town_city, natural_sciences, hygiene_cosmetics, childhood",English,section
Indefinite pronouns,A1,c9f97b21-e300-46b3-8881-d774566085ac,"number_ordinal, pronoun:indefinite","film_tv, university_academia, appliances, money_banking",English,by_yourself
Cardinal numbers and animals,A1,becf86b6-0ed7-4197-a115-dd60c14885c0,"number_cardinal, adverb","animals_wild, locations_directions",English,cards
Absolute superlative,B2,a8d0a010-348d-459d-80fa-4fb808630399,"adjective:absolute_superlative, interjection, verb:gerund","shapes, religions, yard_garden",English,section
Appreciative derivation,A1,64fd7418-98cb-4dda-9e77-b5013aeccc70,noun:appreciative_derivation,"body, town_city, devices_tools_gadgets, materials, public_transit_trains",English,by_yourself
Gender,B1,70779171-9321-4019-91f8-3068e4ccef02,noun:gender,groceries_fruits_vegetables,English,cards
